what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1361547984520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547993682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1361547993723
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1361547997575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548012619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548140680
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1361548140693
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1361548142878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548147143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548149683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1361548150374
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1361548152676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548154479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548157990
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1361548158001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548162686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548169876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548172465
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1361548180202
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1361548187355
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1361548187477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548207195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548208477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548287856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548288985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548296645
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1361548296663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548299338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548380030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548382501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548386278
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.savePerspective",1361548386300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548387752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548480978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548483021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548484586
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1361548484615
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1361548500367
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1361548832738
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1361548836004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548839989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548849812
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1361548861038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549067695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549079171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549079717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549080489
started,bundle,org.eclipse.m2e.editor,1.3.1.20130219-1424,"org.eclipse.m2e.editor",1361549082812
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1361549083382
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1361549083424
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1361549084011
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1361549084113
opened,editor,org.eclipse.m2e.editor,1.3.1.20130219-1424,"org.eclipse.m2e.editor.MavenPomEditor",1361549085438
activated,editor,org.eclipse.m2e.editor,1.3.1.20130219-1424,"org.eclipse.m2e.editor.MavenPomEditor",1361549085481
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1361549085643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549088971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549110067
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1361549112719
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549117654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549120532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549124508
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549127850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549132012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549136365
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549140724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549144502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549148359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549152514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549155993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549159667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549162680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549164832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549169512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549171048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549174531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549179070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549180191
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549183823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549184747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549198557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549199784
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549208947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1361549210685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549213585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549220729
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1361549222067
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549223241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361549232487
