what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1362757919432
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362757921811
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362757922079
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362757922108
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362757924040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362757925617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362757943111
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362757947086
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362757952376
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362757960680
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362757966249
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362757974411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362757983586
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362757986073
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362757991621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362758007233
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362758008267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362758008285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362758009157
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1362758019393
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362758042974
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362758049061
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362758049112
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1362758062233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362758065138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362758121572
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1362758122744
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1362758124003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362758130046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362758135433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1362758137959
